Particles	Armenian script	Transliteration	Comment
Proh	մի	mi	exclamation mark is added on the particle
Fut	պիտի	bidi	
Neg	չ	t͡ʃ	no space between negative prefix and following item
Proh	կոր	gor	
Synthetic negative auxilary			
present 1sg	չեմ	t͡ʃem	
present 2sg	չես	t͡ʃes	no space between synthetic negative and verb
present 3sg (before vowel)	չ'	t͡ʃ'	
present 3sg (before consonant	չի	t͡ʃi	
present 1pl	չենք	t͡ʃenk	
present 2pl	չէք	t͡ʃek	
present 3pl	չեն	t͡ʃen	
past imperfect 1sg	չէի	t͡ʃei	
past imperfect 2sg	չէիր	t͡ʃeir	
past imperfect 3sg	չէր	t͡ʃer	
past imperfect 1pl	չէինք	t͡ʃeink	
past imperfect 2pl	չէիք	t͡ʃeik	
past imperfect 3pl	չէին	t͡ʃein	
Short auxiliary			
Lemma	է	e	
Conjugation class	32	32	
Long auxiliary			
Lemma	ըլլալ	əllal	
Conjugation class	33	33	
